state,date,pfizer_first_doses,moderna_first_doses,total_first_doses
AK,2020-12-14,35100,0,35100
AK,2020-12-21,0,26800,26800
AK,2020-12-28,0,0,0
AK,2021-01-04,27300,25600,52900
AK,2021-01-10,0,0,0
AL,2020-12-14,40950,0,40950
AL,2020-12-21,29250,84300,113550
AL,2020-12-28,38025,29100,67125
AL,2021-01-04,29250,29000,58250
AL,2021-01-10,29250,29100,58350
AR,2020-12-14,25350,0,25350
AR,2020-12-21,18525,51100,69625
AR,2020-12-28,23400,17700,41100
AR,2021-01-04,18525,17600,36125
AR,2021-01-10,18525,17700,36225
AZ,2020-12-14,58500,0,58500
AZ,2020-12-21,41925,119400,161325
AZ,2020-12-28,53625,41300,94925
AZ,2021-01-04,41925,41100,83025
AZ,2021-01-10,41925,41300,83225
CA,2020-12-14,327600,0,327600
CA,2020-12-21,233025,672600,905625
CA,2020-12-28,297375,232300,529675
CA,2021-01-04,232050,231400,463450
CA,2021-01-10,233025,232300,465325
CO,2020-12-14,46800,0,46800
CO,2020-12-21,33150,95600,128750
CO,2020-12-28,42900,33000,75900
CO,2021-01-04,33150,32900,66050
CO,2021-01-10,33150,33000,66150
CT,2020-12-14,31200,0,31200
CT,2020-12-21,22425,63300,85725
CT,2020-12-28,28275,21900,50175
CT,2021-01-04,22425,21800,44225
CT,2021-01-10,22425,21900,44325
DC,2020-12-14,6825,0,6825
DC,2020-12-21,4875,12600,17475
DC,2020-12-28,5850,4400,10250
DC,2021-01-04,4875,4400,9275
DC,2021-01-10,4875,4400,9275
DE,2020-12-14,8775,0,8775
DE,2020-12-21,5850,16700,22550
DE,2020-12-28,7800,5800,13600
DE,2021-01-04,5850,5800,11650
DE,2021-01-10,5850,5800,11650
FL,2020-12-14,179400,0,179400
FL,2020-12-21,127725,367900,495625
FL,2020-12-28,162825,127100,289925
FL,2021-01-04,126750,126600,253350
FL,2021-01-10,127725,127100,254825
GA,2020-12-14,84825,0,84825
GA,2020-12-21,60450,174400,234850
GA,2020-12-28,77025,60200,137225
GA,2021-01-04,60450,60000,120450
GA,2021-01-10,60450,60200,120650
HI,2020-12-14,12675,0,12675
HI,2020-12-21,8775,25000,33775
HI,2020-12-28,11700,8700,20400
HI,2021-01-04,8775,8600,17375
HI,2021-01-10,8775,8700,17475
IA,2020-12-14,26325,0,26325
IA,2020-12-21,19500,53800,73300
IA,2020-12-28,24375,18600,42975
IA,2021-01-04,18525,18500,37025
IA,2021-01-10,19500,18600,38100
ID,2020-12-14,13650,0,13650
ID,2020-12-21,9750,28000,37750
ID,2020-12-28,12675,9700,22375
ID,2021-01-04,9750,9700,19450
ID,2021-01-10,9750,9700,19450
IL,2020-12-14,85800,0,85800
IL,2020-12-21,60450,174600,235050
IL,2020-12-28,78000,60300,138300
IL,2021-01-04,60450,60100,120550
IL,2021-01-10,60450,60300,120750
IN,2020-12-14,55575,0,55575
IN,2020-12-21,39975,113300,153275
IN,2020-12-28,50700,39200,89900
IN,2021-01-04,39000,39000,78000
IN,2021-01-10,39975,39200,79175
KS,2020-12-14,24375,0,24375
KS,2020-12-21,17550,49100,66650
KS,2020-12-28,22425,17000,39425
KS,2021-01-04,17550,16900,34450
KS,2021-01-10,17550,17000,34550
KY,2020-12-14,38025,0,38025
KY,2020-12-21,27300,76700,104000
KY,2020-12-28,34125,26500,60625
KY,2021-01-04,27300,26400,53700
KY,2021-01-10,27300,26500,53800
LA,2020-12-14,39000,0,39000
LA,2020-12-21,28275,79500,107775
LA,2020-12-28,36075,27500,63575
LA,2021-01-04,28275,27400,55675
LA,2021-01-10,28275,27500,55775
MA,2020-12-14,59475,0,59475
MA,2020-12-21,42900,121900,164800
MA,2020-12-28,54600,42100,96700
MA,2021-01-04,42900,42000,84900
MA,2021-01-10,42900,42100,85000
MD,2020-12-14,50700,0,50700
MD,2020-12-21,36075,104300,140375
MD,2020-12-28,46800,36000,82800
MD,2021-01-04,36075,35900,71975
MD,2021-01-10,36075,36000,72075
ME,2020-12-14,12675,0,12675
ME,2020-12-21,8775,24200,32975
ME,2020-12-28,10725,8400,19125
ME,2021-01-04,8775,8300,17075
ME,2021-01-10,8775,8400,17175
MI,2020-12-14,84825,0,84825
MI,2020-12-21,60450,173600,234050
MI,2020-12-28,77025,60000,137025
MI,2021-01-04,60450,59800,120250
MI,2021-01-10,60450,60000,120450
MN,2020-12-14,46800,0,46800
MN,2020-12-21,33150,94900,128050
MN,2020-12-28,42900,32900,75800
MN,2021-01-04,33150,32700,65850
MN,2021-01-10,33150,32900,66050
MO,2020-12-14,51675,0,51675
MO,2020-12-21,37050,105300,142350
MO,2020-12-28,46800,36400,83200
MO,2021-01-04,37050,36200,73250
MO,2021-01-10,37050,36400,73450
MS,2020-12-14,25350,0,25350
MS,2020-12-21,17550,50800,68350
MS,2020-12-28,22425,17600,40025
MS,2021-01-04,17550,17500,35050
MS,2021-01-10,17550,17600,35150
MT,2020-12-14,9750,0,9750
MT,2020-12-21,6825,18300,25125
MT,2020-12-28,8775,6400,15175
MT,2021-01-04,6825,6300,13125
MT,2021-01-10,6825,6400,13225
NC,2020-12-14,85800,0,85800
NC,2020-12-21,61425,175900,237325
NC,2020-12-28,78000,60800,138800
NC,2021-01-04,61425,60500,121925
NC,2021-01-10,61425,60800,122225
ND,2020-12-14,6825,0,6825
ND,2020-12-21,4875,13200,18075
ND,2020-12-28,5850,4600,10450
ND,2021-01-04,4875,4600,9475
ND,2021-01-10,4875,4600,9475
NE,2020-12-14,16575,0,16575
NE,2020-12-21,11700,32400,44100
NE,2020-12-28,14625,11200,25825
NE,2021-01-04,11700,11200,22900
NE,2021-01-10,11700,11200,22900
NH,2020-12-14,12675,0,12675
NH,2020-12-21,8775,24200,32975
NH,2020-12-28,10725,8400,19125
NH,2021-01-04,8775,8400,17175
NH,2021-01-10,8775,8400,17175
NJ,2020-12-14,76050,0,76050
NJ,2020-12-21,53625,154500,208125
NJ,2020-12-28,68250,53400,121650
NJ,2021-01-04,53625,53200,106825
NJ,2021-01-10,53625,53400,107025
NM,2020-12-14,17550,0,17550
NM,2020-12-21,12675,36100,48775
NM,2020-12-28,16575,12500,29075
NM,2021-01-04,12675,12500,25175
NM,2021-01-10,12675,12500,25175
NV,2020-12-14,25350,0,25350
NV,2020-12-21,17550,50300,67850
NV,2020-12-28,22425,17400,39825
NV,2021-01-04,17550,17300,34850
NV,2021-01-10,17550,17400,34950
NY,2020-12-14,96525,0,96525
NY,2020-12-21,68250,196800,265050
NY,2020-12-28,87750,68000,155750
NY,2021-01-04,68250,67700,135950
NY,2021-01-10,68250,68000,136250
OH,2020-12-14,98475,0,98475
OH,2020-12-21,70200,201900,272100
OH,2020-12-28,89700,69700,159400
OH,2021-01-04,70200,69500,139700
OH,2021-01-10,70200,69700,139900
OK,2020-12-14,33150,0,33150
OK,2020-12-21,23400,66200,89600
OK,2020-12-28,29250,22900,52150
OK,2021-01-04,23400,22800,46200
OK,2021-01-10,23400,22900,46300
OR,2020-12-14,35100,0,35100
OR,2020-12-21,25350,72100,97450
OR,2020-12-28,32175,25000,57175
OR,2021-01-04,25350,24800,50150
OR,2021-01-10,25350,25000,50350
PA,2020-12-14,97500,0,97500
PA,2020-12-21,69225,198800,268025
PA,2020-12-28,88725,68700,157425
PA,2021-01-04,69225,68400,137625
PA,2021-01-10,69225,68700,137925
RI,2020-12-14,9750,0,9750
RI,2020-12-21,6825,19000,25825
RI,2020-12-28,8775,6600,15375
RI,2021-01-04,6825,6600,13425
RI,2021-01-10,6825,6600,13425
SC,2020-12-14,42900,0,42900
SC,2020-12-21,30225,86400,116625
SC,2020-12-28,39000,29900,68900
SC,2021-01-04,30225,29700,59925
SC,2021-01-10,30225,29900,60125
SD,2020-12-14,7800,0,7800
SD,2020-12-21,5850,14600,20450
SD,2020-12-28,6825,5100,11925
SD,2021-01-04,5850,5100,10950
SD,2021-01-10,5850,5100,10950
TN,2020-12-14,56550,0,56550
TN,2020-12-21,39975,115200,155175
TN,2020-12-28,51675,39800,91475
TN,2021-01-04,39975,39700,79675
TN,2021-01-10,39975,39800,79775
TX,2020-12-14,224250,0,224250
TX,2020-12-21,159900,460500,620400
TX,2020-12-28,203775,159100,362875
TX,2021-01-04,158925,158500,317425
TX,2021-01-10,159900,159100,319000
UT,2020-12-14,23400,0,23400
UT,2020-12-21,16575,47800,64375
UT,2020-12-28,21450,16600,38050
UT,2021-01-04,16575,16500,33075
UT,2021-01-10,16575,16600,33175
VA,2020-12-14,72150,0,72150
VA,2020-12-21,50700,146400,197100
VA,2020-12-28,65325,50600,115925
VA,2021-01-04,50700,50400,101100
VA,2021-01-10,50700,50600,101300
VT,2020-12-14,5850,0,5850
VT,2020-12-21,4875,11400,16275
VT,2020-12-28,5850,4000,9850
VT,2021-01-04,3900,3900,7800
VT,2021-01-10,4875,4000,8875
WA,2020-12-14,62400,0,62400
WA,2020-12-21,44850,128000,172850
WA,2020-12-28,57525,44300,101825
WA,2021-01-04,44850,44100,88950
WA,2021-01-10,57525,44300,101825
WI,2020-12-14,49725,0,49725
WI,2020-12-21,35100,101000,136100
WI,2020-12-28,44850,34900,79750
WI,2021-01-04,35100,34700,69800
WI,2021-01-10,35100,34900,70000
WV,2020-12-14,16575,0,16575
WV,2020-12-21,11700,32600,44300
WV,2020-12-28,14625,11300,25925
WV,2021-01-04,11700,11200,22900
WV,2021-01-10,11700,11300,23000
WY,2020-12-14,4875,0,4875
WY,2020-12-21,3900,10000,13900
WY,2020-12-28,4875,3500,8375
WY,2021-01-04,3900,3500,7400
WY,2021-01-10,3900,3500,7400
